"","Sardegna","Sicilia","Calabria","Basilicata","Puglia","Molise","Abruzzo","Campania","Lazio","Umbria","Toscana","Marche","Emilia-Romagna","Friuli-Venezia Giulia","Veneto","Trentino-Alto Adige","Lombardia","Liguria","Valle d'Aosta","Piemonte"
"2022/2023",0.607463352098545,0.599958731558165,0.597490052035507,0.609147609147609,0.585621435203608,0.614827373612824,0.59860106698281,0.558077315586447,0.5470236594321,0.604666760802033,0.574023702278392,0.587762853808663,0.56960623190238,0.563966790874028,0.583470099497384,0.546857937059466,0.552384163578398,0.563931389146197,0.719665271966527,0.53582397107239
"2021/2022",0.605339241806047,0.59841366117669,0.593723216536425,0.591482112436116,0.585458920173531,0.606217616580311,0.595576360444705,0.556951578585398,0.542149701912279,0.603526268922529,0.570567020982882,0.586652504868118,0.568635215484397,0.554926535554174,0.581022990306131,0.549432896850509,0.551169630915107,0.560983257038941,0.714720812182741,0.531257067166349
"2020/2021",0.604431871758604,0.594236529714138,0.592157928546721,0.581758422350041,0.582120881361625,0.599128212836314,0.601415575871691,0.550132540630267,0.536948711381241,0.596176341570405,0.565955992309336,0.575224671882071,0.565160988865731,0.551822823506456,0.576367579436141,0.546704760060046,0.549098094691335,0.560548693439265,0.691714836223507,0.527640002884592
"2019/2020",0.600228678343121,0.59188233630321,0.587306237031612,0.572611464968153,0.582744992474947,0.581620494489127,0.601378309756982,0.548148996085075,0.533084735893215,0.581419921160645,0.560520426024785,0.572777426459365,0.560429510629045,0.547011925940568,0.576317405952758,0.544722503495829,0.543547619760529,0.555599188428562,0.688976377952756,0.522659206845483
"2018/2019",0.601843342173673,0.590694735253617,0.583034561881543,0.578373325023372,0.581871955035773,0.585315712187959,0.600540828087596,0.549910480913765,0.528286366392344,0.572970551097715,0.559204189215223,0.570318066981927,0.559286616453846,0.542788987178213,0.575868321417499,0.539057106223493,0.540259767524861,0.553505413255875,0.69208211143695,0.52099626695495
"2017/2018",0.603542875058787,0.592311708295551,0.581422500350255,0.572535318243962,0.582761288421156,0.594198694706309,0.601728048385355,0.552021357363676,0.526017232270187,0.573589636439616,0.56079328355593,0.568573964625143,0.554219168923667,0.537708846435466,0.577397060071471,0.536289311330692,0.538188444386482,0.5465076234307,0.713333333333333,0.518053591750871
"2016/2017",0.605641777983682,0.59615886529929,0.58413833956074,0.571535022354694,0.583107000415963,0.58881199538639,0.602790639729242,0.558117185183671,0.528892059040471,0.569919517102616,0.561612311043575,0.567461001465138,0.551309296288901,0.536617218631752,0.578156044627847,0.534104343356464,0.539124027773079,0.547193796478739,0.72710103871577,0.518500290814729
"2015/2016",0.606418744181235,0.600810341501061,0.585313414309779,0.570872386445566,0.586573786917315,0.588987924094307,0.609005164609464,0.569288880041072,0.534669090308188,0.560090803881421,0.561664757541046,0.566649992387829,0.551199796089284,0.539545758183033,0.581456815619701,0.536796761469794,0.541569616354502,0.547740455095927,0.718889883616831,0.519415591616457
"2014/2015",0.613054380588131,0.605823976456621,0.587299920178129,0.581627006087438,0.593361847733105,0.589499146272055,0.609646734197437,0.574180826821223,0.539018590575011,0.566468550904349,0.561188656937656,0.56471938333622,0.556193226607336,0.544179798840219,0.581893374433988,0.53033754400497,0.543384360071965,0.551333746898263,0.725932350390286,0.522742192628716
"2013/2014",0.616065135496415,0.608710365397782,0.588459752478246,0.5686511128989,0.599089114588503,0.591318591318591,0.605841745469204,0.577553463793246,0.538790241438447,0.568634793825157,0.562408798092323,0.561223170416343,0.557992255636377,0.549387189262422,0.586403324014859,0.530849400729547,0.54468306132571,0.553517380537467,0.720068906115418,0.524833096827649
"2012/2013",0.619925512104283,0.612213423495566,0.587406273308994,0.561374795417349,0.602535791642453,0.585626502805236,0.604554664073264,0.585797059907457,0.543815683428429,0.571619454836986,0.563530289073124,0.560326302393023,0.560656993319433,0.551637355973317,0.589486704940323,0.537278657968313,0.546633722110325,0.559241985949584,0.724337748344371,0.529071443673477
